_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Inter-Divisional Charges,748
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Materials & Supplies,2429
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Service And Rent,161598
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Salaries And Benefits,555427
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Other Expenditures,0
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Inter-Divisional Charges,1226
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Equipment,1969
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Materials & Supplies,3913
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Service And Rent,19109
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Contribution To Reserves/Reserve Funds,50213
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Salaries And Benefits,872533
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Other Expenditures,2
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Inter-Divisional Charges,914
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Equipment,1071
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Materials & Supplies,2604
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Service And Rent,15785
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Contribution To Reserves/Reserve Funds,27193
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Salaries And Benefits,1099628
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Materials & Supplies,1805
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Service And Rent,12018
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Inter-Divisional Charges,137566
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Salaries And Benefits,968810
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,Materials & Supplies,3691
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,Service And Rent,11663
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,Inter-Divisional Charges,54166
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,Salaries And Benefits,1370254
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,Materials & Supplies,140
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,Service And Rent,989
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,Salaries And Benefits,295765
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Materials & Supplies,5165
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Inter-Divisional Charges,8264
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Service And Rent,36103
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Salaries And Benefits,2539965
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Materials & Supplies,3292
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Inter-Divisional Charges,5165
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Service And Rent,23670
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Salaries And Benefits,1896574
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Materials & Supplies,1580
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Inter-Divisional Charges,2479
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Service And Rent,9500
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Salaries And Benefits,1615905
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Materials & Supplies,3028
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Inter-Divisional Charges,4752
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Service And Rent,21512
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Salaries And Benefits,2259099
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Inter-Divisional Charges,600
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1578
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Materials & Supplies,6404
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Service And Rent,81517
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Salaries And Benefits,1063881
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Equipment,1463
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,2082
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Materials & Supplies,5102
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Inter-Divisional Charges,5605
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Service And Rent,178953
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,Salaries And Benefits,1616917
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Contribution To Reserves/Reserve Funds,1107
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Equipment,1179
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Materials & Supplies,9874
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Inter-Divisional Charges,14950
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Service And Rent,50110
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Salaries And Benefits,1649986
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Materials & Supplies,5527
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Inter-Divisional Charges,9266
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Contribution To Reserves/Reserve Funds,25259
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Service And Rent,42187
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Salaries And Benefits,1698889
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Equipment,1004
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Contribution To Reserves/Reserve Funds,1107
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Materials & Supplies,5805
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Inter-Divisional Charges,11508
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Service And Rent,34359
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Salaries And Benefits,1369009
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Materials & Supplies,62
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Contribution To Reserves/Reserve Funds,2215
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Service And Rent,4150
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Salaries And Benefits,153377
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Equipment,117
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Materials & Supplies,881
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Other Expenditures,15801
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Service And Rent,46860
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Inter-Divisional Charges,121968
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Salaries And Benefits,3548556
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Materials & Supplies,402
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Service And Rent,1393
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Salaries And Benefits,404297
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Equipment,176
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Materials & Supplies,584
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Inter-Divisional Charges,3532
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Service And Rent,11534
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Other Expenditures,83000
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Salaries And Benefits,827576
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Materials & Supplies,417
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Service And Rent,1375
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Salaries And Benefits,257439
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP Financial Systems Training,Materials & Supplies,141
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP Financial Systems Training,Service And Rent,708
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP Financial Systems Training,Salaries And Benefits,311663
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Equipment,352
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Materials & Supplies,504
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Service And Rent,10507
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Salaries And Benefits,985965
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Service And Rent,1545
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Materials & Supplies,1960
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Inter-Divisional Charges,5189
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Salaries And Benefits,308590
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Equipment,6544
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Materials & Supplies,16153
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Contribution To Reserves/Reserve Funds,47393
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Service And Rent,53198
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Inter-Divisional Charges,187273
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Salaries And Benefits,2798987
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Other Expenditures,5186
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Contribution To Reserves/Reserve Funds,28544
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Materials & Supplies,36047
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Equipment,53234
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Service And Rent,1625844
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Salaries And Benefits,8865403
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Equipment,500
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Materials & Supplies,1642
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Contribution To Reserves/Reserve Funds,1743
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Other Expenditures,1760
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Inter-Divisional Charges,5212
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-3rd Party Payments & Compliance,Service And Rent,23276
